// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.4.0
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3
55082,NaN,1.987874,-0.544653,9.178257,-0.000000,0.000000,-0.405889,-0.123217,1.039428,0.151759,0.110840,-0.037354,-1.231445,0.020359,-0.005375,0.091681,0.999986,-0.000616,0.005197,0.000759,0.985349,-0.014475,-0.111707,0.128062
55083,NaN,1.818631,-0.508140,8.818816,-0.290196,0.102768,-0.799268,-0.106211,0.965806,0.136247,0.123535,-0.039551,-1.229248,0.018615,-0.005022,0.088102,0.999988,-0.000531,0.004829,0.000681,0.981563,-0.021486,-0.117108,0.149526
55084,NaN,1.756892,-0.444944,8.696246,-0.261804,0.182172,-0.935353,-0.181510,0.877795,0.123951,0.134033,-0.035156,-1.233643,0.017953,-0.004360,0.086888,0.999990,-0.000908,0.004389,0.000620,0.981955,-0.023106,-0.112921,0.149933
55085,NaN,1.559650,-0.289154,9.020049,-0.492383,0.315467,-0.672945,-0.213607,0.859411,0.115210,0.146973,-0.039551,-1.233643,0.015986,-0.002786,0.090135,0.999990,-0.001068,0.004297,0.000576,0.982335,-0.024757,-0.108727,0.150278
55086,NaN,1.456573,-0.268189,9.364528,-0.603244,0.354892,-0.357661,-0.252998,0.803716,0.103140,0.157227,-0.031006,-1.239990,0.014943,-0.002556,0.093589,0.999991,-0.001265,0.004019,0.000516,0.982654,-0.026660,-0.104956,0.150546
55087,NaN,1.499825,-0.242503,9.555733,-0.531162,0.432940,-0.161249,-0.298406,0.723906,0.111637,0.165771,-0.031006,-1.233887,0.015345,-0.002274,0.095506,0.999992,-0.001492,0.003620,0.000558,0.983026,-0.028005,-0.100766,0.150737
55088,NaN,1.536692,-0.100544,9.720847,-0.514089,0.634764,-0.004595,-0.326527,0.719214,0.138208,0.180420,-0.022461,-1.240234,0.015717,-0.000836,0.097154,0.999992,-0.001633,0.003596,0.000691,0.983231,-0.030221,-0.097457,0.151150
55089,NaN,1.256332,-0.320934,9.879647,-0.640255,0.359706,0.124561,-0.324204,0.757087,0.163163,0.186768,-0.022461,-1.236084,0.012940,-0.003039,0.098753,0.999991,-0.001621,0.003785,0.000816,0.983720,-0.030209,-0.092092,0.151330
55090,NaN,1.022758,-0.314091,9.719258,-0.771945,0.340859,-0.071222,-0.265460,0.675518,0.163562,0.190918,-0.020264,-1.242432,0.010558,-0.003003,0.097161,0.999993,-0.001327,0.003378,0.000818,0.983861,-0.032101,-0.088945,0.151909
55091,NaN,1.060278,-0.220177,9.494594,-0.594662,0.423906,-0.284500,-0.198169,0.592732,0.177449,0.199463,-0.020264,-1.240234,0.010886,-0.002098,0.094916,0.999995,-0.000991,0.002964,0.000887,0.984425,-0.030363,-0.082616,0.152182
55092,NaN,1.047430,-0.153424,9.384320,-0.559343,0.514355,-0.399483,-0.157429,0.585804,0.184109,0.214111,-0.015869,-1.240479,0.010750,-0.001451,0.093813,0.999995,-0.000787,0.002929,0.000921,0.984498,-0.031660,-0.079824,0.152933
55093,NaN,0.493659,-0.431106,9.360070,-0.860048,0.046477,-0.469327,-0.169662,0.511134,0.192062,0.216553,-0.020264,-1.242432,0.005180,-0.004227,0.093591,0.999996,-0.000848,0.002556,0.000960,0.985057,-0.028794,-0.073230,0.153199
55094,NaN,0.392684,-0.585470,9.713990,-0.928584,-0.087113,-0.117918,-0.227172,0.374284,0.202220,0.226807,-0.007324,-1.242676,0.004114,-0.005740,0.097139,0.999997,-0.001136,0.001871,0.001011,0.985004,-0.030274,-0.071531,0.154058
55095,NaN,0.509518,-0.696199,9.900843,-0.668052,-0.158850,0.101915,-0.240199,0.317210,0.213299,0.226807,-0.009521,-1.246826,0.005260,-0.006838,0.099008,0.999997,-0.001201,0.001586,0.001066,0.985425,-0.028707,-0.064518,0.154763
55096,NaN,0.338495,-0.552621,9.409701,-0.782767,-0.060140,-0.413433,-0.242863,0.322995,0.231765,0.237061,-0.002930,-1.251221,0.003543,-0.005408,0.094098,0.999997,-0.001214,0.001615,0.001159,0.985312,-0.030228,-0.063081,0.155779
55097,NaN,-0.010802,-0.646768,9.226713,-0.932269,-0.250351,-0.613843,-0.302230,0.257607,0.240831,0.239502,-0.007324,-1.244873,0.000019,-0.006328,0.092277,0.999997,-0.001511,0.001288,0.001204,0.985555,-0.030085,-0.056368,0.156842
55098,NaN,0.258631,-0.732330,9.333780,-0.652737,-0.207868,-0.471742,-0.327083,0.189602,0.214289,0.239258,-0.000977,-1.249023,0.002683,-0.007168,0.093347,0.999998,-0.001635,0.000948,0.001071,0.985389,-0.031906,-0.055658,0.157777
55099,NaN,0.168829,-0.806060,9.241174,-0.592667,-0.276977,-0.557987,-0.293595,0.142361,0.172684,0.241455,-0.000977,-1.249023,0.001761,-0.007923,0.092422,0.999998,-0.001468,0.000712,0.000863,0.985543,-0.032623,-0.049600,0.158681
55100,NaN,0.117092,-0.873177,9.428760,-0.641411,-0.316937,-0.369927,-0.328920,0.035455,0.126696,0.245117,0.011963,-1.247070,0.001193,-0.008576,0.094302,0.999998,-0.001645,0.000177,0.000633,0.985397,-0.034303,-0.049666,0.159218
55101,NaN,0.351920,-1.013719,9.431582,-0.291644,-0.331383,-0.330533,-0.333792,0.007012,0.113647,0.247559,0.005615,-1.247070,0.003528,-0.009978,0.094332,0.999998,-0.001669,0.000035,0.000568,0.985444,-0.035883,-0.044998,0.159962
55102,NaN,0.345377,-1.037837,9.369084,-0.292873,-0.328294,-0.390242,-0.349210,0.004850,0.119852,0.247070,0.020508,-1.253418,0.003462,-0.010213,0.093709,0.999998,-0.001746,0.000024,0.000599,0.985285,-0.037634,-0.045232,0.160472
55103,NaN,0.378380,-1.073592,9.463441,-0.203659,-0.292124,-0.287690,-0.385530,-0.040486,0.129891,0.245117,0.016357,-1.253418,0.003772,-0.010551,0.094656,0.999998,-0.001928,-0.000202,0.000649,0.985200,-0.040015,-0.042024,0.161286
55104,NaN,0.305447,-0.969447,9.547362,-0.329215,-0.178753,-0.218689,-0.364350,-0.079530,0.123754,0.247070,0.016357,-1.253418,0.003022,-0.009519,0.095492,0.999998,-0.001822,-0.000398,0.000619,0.985009,-0.041772,-0.042684,0.161835
55105,NaN,0.192282,-0.929223,9.130060,-0.377169,-0.154649,-0.642510,-0.389068,-0.111711,0.118208,0.249268,0.022705,-1.247070,0.001877,-0.009113,0.091320,0.999998,-0.001945,-0.000559,0.000591,0.984896,-0.044254,-0.040672,0.162383
55106,NaN,0.030926,-1.031496,9.079358,-0.515353,-0.275706,-0.693589,-0.418845,-0.165426,0.089337,0.250977,0.031250,-1.249268,0.000239,-0.010125,0.090815,0.999997,-0.002094,-0.000827,0.000447,0.984694,-0.046200,-0.041807,0.162773
55107,NaN,0.017745,-1.132176,9.198958,-0.492768,-0.316669,-0.562838,-0.414012,-0.230986,0.051096,0.246582,0.035645,-1.247314,0.000074,-0.011131,0.092013,0.999997,-0.002070,-0.001155,0.000255,0.984536,-0.048655,-0.040791,0.163274
55108,NaN,0.173573,-1.385336,9.135948,-0.292955,-0.480388,-0.587827,-0.419226,-0.265178,0.031649,0.246582,0.037598,-1.253662,0.001617,-0.013662,0.091390,0.999997,-0.002096,-0.001326,0.000158,0.984351,-0.050509,-0.042431,0.163408
55109,NaN,0.170938,-1.519941,9.135701,-0.249921,-0.557658,-0.570023,-0.411785,-0.291315,0.027864,0.240234,0.039795,-1.247314,0.001578,-0.015011,0.091390,0.999997,-0.002059,-0.001457,0.000139,0.984197,-0.053137,-0.041912,0.163635
55110,NaN,0.541822,-1.629409,8.951590,0.116177,-0.529290,-0.714023,-0.401400,-0.290611,0.038392,0.244141,0.046143,-1.249512,0.005291,-0.016113,0.089556,0.999997,-0.002007,-0.001453,0.000192,0.983995,-0.054882,-0.043661,0.163817
55111,NaN,0.477606,-1.588096,9.088241,0.017427,-0.446700,-0.585214,-0.397652,-0.314434,0.058269,0.241943,0.048340,-1.243164,0.004638,-0.015699,0.090921,0.999997,-0.001988,-0.001572,0.000291,0.983816,-0.057747,-0.043837,0.163858
55112,NaN,0.230547,-1.410555,9.738491,-0.381966,-0.270759,0.018975,-0.388460,-0.363140,0.064192,0.243896,0.056885,-1.249512,0.002133,-0.013916,0.097416,0.999996,-0.001942,-0.001816,0.000321,0.983568,-0.059375,-0.045923,0.164193
55113,NaN,0.601819,-1.327881,9.587250,-0.062750,-0.038380,-0.115511,-0.331572,-0.362402,0.055231,0.243896,0.056885,-1.247314,0.005848,-0.013118,0.095905,0.999997,-0.001658,-0.001812,0.000276,0.983381,-0.061850,-0.046535,0.164226
55114,NaN,0.450682,-1.318374,9.832698,-0.274607,-0.033698,0.114371,-0.291593,-0.287190,0.099895,0.237305,0.063477,-1.247559,0.004372,-0.013038,0.098352,0.999998,-0.001458,-0.001436,0.000499,0.983140,-0.063071,-0.048156,0.164738
55115,NaN,0.217821,-1.224894,10.461971,-0.607194,0.086743,0.705123,-0.283047,-0.217829,0.151932,0.241943,0.052734,-1.240967,0.002073,-0.012099,0.104639,0.999998,-0.001415,-0.001089,0.000760,0.982919,-0.065143,-0.048229,0.165230
55116,NaN,0.980694,-1.362479,11.048573,0.064850,0.298179,1.358521,-0.207662,-0.068723,0.220066,0.239502,0.061279,-1.241211,0.009784,-0.013499,0.110503,0.999999,-0.001038,-0.000344,0.001100,0.982652,-0.066160,-0.048666,0.166284
55117,NaN,1.719346,-1.538568,11.394286,0.801143,0.460941,1.776042,-0.197973,0.239081,0.369517,0.248291,0.052734,-1.230469,0.017358,-0.015241,0.113937,0.999997,-0.000990,0.001195,0.001848,0.982405,-0.067815,-0.046511,0.167686
55118,NaN,2.120005,-1.839760,11.521144,1.307296,0.380005,1.967027,-0.237232,0.688500,0.507845,0.260986,0.059082,-1.222168,0.021643,-0.018206,0.115159,0.999990,-0.001186,0.003442,0.002539,0.982049,-0.069675,-0.043155,0.169891
